transactionID,carrierID,customerID,amount,date
1,3,861,7.19,2008-05-06 00:57:48
2,3,131,15.42,2009-07-25 01:02:47
3,2,798,10.01,2007-05-29 10:11:22
4,3,139,17.53,2009-11-03 19:25:53
5,3,480,13.72,2006-09-12 00:55:01
6,2,569,17.09,2006-10-16 02:21:10
7,1,730,18.48,2008-03-18 04:27:33
8,3,257,6.27,2006-11-15 04:56:50
9,2,459,9.5,2009-03-12 06:26:33
10,3,449,13.37,2005-07-02 23:38:58
11,2,79,17.77,2007-05-30 03:20:32
12,2,633,16.52,2007-06-15 10:02:59
13,1,12,6.02,2008-03-31 12:15:48
14,1,475,13.26,2006-11-09 07:30:45
15,1,83,13.21,2005-10-28 08:54:29
16,1,974,9.43,2007-07-30 07:52:13
17,2,941,6.04,2005-09-06 21:37:42
18,3,776,6.68,2007-10-15 00:40:00
19,1,90,8.08,2005-05-13 15:39:44
20,3,109,7.32,2007-04-21 19:20:03
21,2,112,19.14,2005-04-04 20:47:24
22,2,51,7.07,2005-07-08 08:16:13
23,2,770,5.16,2006-11-21 14:26:55
24,1,441,12.58,2007-01-21 19:18:51
25,1,69,17.08,2006-02-21 03:59:27
26,1,902,16.55,2005-06-14 08:55:00
27,1,980,12.27,2006-08-02 12:34:13
28,2,729,15.66,2005-12-06 11:46:06
29,1,343,19.9,2005-11-19 10:57:07
30,1,136,15.15,2008-06-18 08:44:19
31,2,9,10.26,2006-01-04 03:10:32
32,2,259,17.29,2005-03-12 11:24:42
33,2,505,12.67,2005-08-31 07:55:28
34,1,63,7.02,2008-08-11 08:23:04
35,3,330,18.47,2007-09-06 05:01:07
36,3,914,5.43,2009-03-30 17:03:19
37,3,824,10.04,2006-11-17 22:04:38
38,3,824,11.58,2008-03-23 11:07:51
39,2,279,5.77,2006-05-20 15:18:42
40,1,998,18.9,2005-11-17 00:35:27
41,1,850,6.05,2008-01-16 19:53:56
42,1,755,7.5,2008-06-16 09:16:12
43,2,987,11.9,2009-04-06 10:24:25
44,1,945,10.78,2009-06-06 20:15:32
45,2,457,15.8,2008-10-24 07:09:39
46,3,851,19.57,2007-09-14 15:17:56
47,2,908,9.87,2009-08-26 02:23:50
48,2,384,15.34,2009-12-19 00:19:39
49,2,628,15.79,2006-06-21 22:38:48
50,2,600,13.12,2008-12-10 11:28:04
51,2,139,17.32,2009-02-24 04:49:27
52,1,367,13.03,2008-07-01 07:40:08
53,1,337,6.99,2006-01-09 09:51:09
54,3,503,9.21,2007-12-18 00:03:43
55,1,846,5.52,2009-12-31 16:53:59
56,3,641,18.18,2006-02-18 09:49:18
57,3,273,9.2,2008-08-09 13:58:14
58,3,631,19.44,2009-01-03 14:20:38
59,2,929,15.07,2009-03-02 05:24:16
60,2,797,18.72,2008-11-11 10:55:22
61,3,427,5.53,2007-05-06 16:24:04
62,2,616,12.04,2008-10-31 02:09:31
63,1,959,18.94,2006-07-30 17:59:50
64,3,565,17.18,2008-01-10 22:12:06
65,2,111,19.4,2009-04-27 07:37:20
66,2,120,13.86,2006-01-05 15:55:20
67,3,382,16.69,2008-12-19 07:46:14
68,3,89,8.33,2005-12-23 18:26:01
69,2,497,6.4,2009-01-10 19:34:54
70,2,47,6.44,2005-03-08 10:07:01
71,3,749,19.25,2008-10-24 00:36:33
72,2,926,14.07,2005-10-28 01:15:56
73,3,511,11.2,2005-06-06 14:10:12
74,1,754,7.4,2006-09-26 11:55:45
75,2,252,13.94,2007-10-09 19:14:27
76,3,381,18.87,2005-09-19 00:29:12
77,2,585,11.41,2009-09-22 06:05:30
78,3,302,19.63,2008-09-01 14:57:20
79,3,150,5.02,2007-04-16 17:34:13
80,1,565,15.0,2005-04-22 23:52:37
81,1,215,5.14,2006-11-06 02:00:03
82,2,503,6.06,2005-06-17 18:40:29
83,1,826,7.76,2005-02-26 08:48:58
84,3,79,8.4,2008-09-11 11:48:12
85,2,341,8.51,2009-08-20 11:17:12
86,3,585,18.84,2007-05-26 19:17:44
87,1,857,5.85,2009-07-16 07:10:23
88,2,658,5.12,2007-06-23 20:59:47
89,2,491,14.99,2007-07-09 15:10:29
90,1,908,15.55,2009-01-04 16:16:36
91,3,400,8.89,2009-07-06 08:30:51
92,3,644,17.32,2009-03-26 12:21:18
93,1,739,10.11,2009-01-28 09:38:18
94,3,778,16.56,2007-03-26 14:39:04
95,1,982,6.16,2008-07-29 16:08:59
96,1,352,19.85,2007-06-03 17:49:54
97,3,972,18.32,2005-12-13 18:35:59
98,1,489,10.87,2005-11-27 20:36:22
99,2,910,18.8,2007-09-05 01:22:03
100,1,670,8.02,2006-11-21 04:25:20
101,1,990,5.14,2007-08-07 20:53:33
102,2,204,15.99,2005-02-13 18:15:08
103,3,615,15.84,2007-03-07 00:18:00
104,3,81,17.15,2005-11-28 11:38:22
105,3,780,11.46,2009-09-25 16:13:41
106,3,767,12.19,2007-02-08 05:38:02
107,2,49,8.75,2007-07-12 00:57:20
108,1,34,19.0,2007-01-07 12:17:42
109,2,517,17.17,2006-03-12 01:36:57
110,2,266,9.71,2006-11-28 02:54:29
111,2,947,7.23,2007-10-19 07:31:52
112,2,244,9.22,2008-04-22 19:39:29
113,1,845,13.5,2009-07-22 23:33:50
114,1,520,16.3,2009-01-19 11:51:30
115,3,944,11.32,2005-03-06 04:01:27
116,2,209,16.43,2009-05-05 02:57:42
117,3,802,18.1,2008-04-06 19:16:31
118,2,662,16.24,2009-10-17 19:54:57
119,1,504,7.76,2005-07-02 14:15:03
120,3,273,7.64,2006-01-11 06:42:54
121,1,604,10.29,2008-05-03 01:20:26
122,2,42,10.89,2008-02-29 02:37:22
123,2,489,17.6,2009-10-27 12:08:10
124,1,702,13.95,2007-11-09 12:53:34
125,2,685,17.65,2006-09-07 10:53:09
126,3,242,18.21,2005-11-15 02:23:59
127,3,853,10.35,2007-11-27 20:42:44
128,3,299,8.63,2006-05-28 02:47:24
129,3,27,5.59,2008-10-15 08:58:55
130,3,520,19.18,2007-12-14 13:09:21
